 ;5.02 BN - Kennedybrücke (Südseite) Barometer ;5.02 BN - Kennedybrücke (Südseite) IN ;5.02 BN - Kennedybrücke (Südseite) Barometer Radfahrer Ri. Beuel
2015-05-18-16-30-00;149;21;128
2015-05-18-16-45-00;160;32;128
2015-05-18-17-00-00;140;23;117
2015-05-18-17-15-00;112;16;96
2015-05-18-17-30-00;133;27;106
2015-05-18-17-45-00;190;31;159
2015-05-18-18-00-00;175;36;139
2015-05-18-18-15-00;157;31;126
2015-05-18-18-30-00;155;33;122
2015-05-18-18-45-00;151;28;123
2015-05-18-19-00-00;128;20;108
2015-05-18-19-15-00;93;20;73
2015-05-18-19-30-00;110;25;85
2015-05-18-19-45-00;87;12;75
2015-05-18-20-00-00;87;12;75
2015-05-18-20-15-00;77;12;65
2015-05-18-20-30-00;36;7;29
2015-05-18-20-45-00;41;10;31
2015-05-18-21-00-00;39;9;30
2015-05-18-21-15-00;45;10;35
2015-05-18-21-30-00;25;1;24
2015-05-18-21-45-00;35;9;26
2015-05-18-22-00-00;33;10;23
2015-05-18-22-15-00;41;8;33
2015-05-18-22-30-00;25;1;24
2015-05-18-22-45-00;26;4;22
2015-05-18-23-00-00;20;5;15
2015-05-18-23-15-00;14;1;13
2015-05-18-23-30-00;14;4;10
2015-05-18-23-45-00;5;0;5
2015-05-19-00-00-00;9;2;7
2015-05-19-00-15-00;2;0;2
2015-05-19-00-30-00;7;0;7
2015-05-19-00-45-00;0;0;0
2015-05-19-01-00-00;5;0;5
2015-05-19-01-15-00;4;0;4
2015-05-19-01-30-00;2;1;1
2015-05-19-01-45-00;3;0;3
2015-05-19-02-00-00;1;0;1
2015-05-19-02-15-00;1;0;1
2015-05-19-02-30-00;1;0;1
2015-05-19-02-45-00;1;0;1
2015-05-19-03-00-00;0;0;0
2015-05-19-03-15-00;0;0;0
2015-05-19-03-30-00;1;0;1
2015-05-19-03-45-00;2;0;2
2015-05-19-04-00-00;1;1;0
2015-05-19-04-15-00;1;1;0
2015-05-19-04-30-00;5;3;2
2015-05-19-04-45-00;2;0;2
2015-05-19-05-00-00;4;2;2
2015-05-19-05-15-00;5;2;3
2015-05-19-05-30-00;11;3;8
2015-05-19-05-45-00;14;8;6
2015-05-19-06-00-00;23;10;13
2015-05-19-06-15-00;25;11;14
2015-05-19-06-30-00;32;15;17
2015-05-19-06-45-00;37;18;19
2015-05-19-07-00-00;59;23;36
2015-05-19-07-15-00;102;51;51
2015-05-19-07-30-00;124;72;52
2015-05-19-07-45-00;103;56;47
2015-05-19-08-00-00;98;55;43
2015-05-19-08-15-00;104;59;45
2015-05-19-08-30-00;118;52;66
2015-05-19-08-45-00;107;60;47
2015-05-19-09-00-00;60;36;24
2015-05-19-09-15-00;57;35;22
2015-05-19-09-30-00;54;36;18
2015-05-19-09-45-00;63;29;34
2015-05-19-10-00-00;67;31;36
2015-05-19-10-15-00;55;26;29
2015-05-19-10-30-00;37;9;28
2015-05-19-10-45-00;41;15;26
2015-05-19-11-00-00;45;11;34
2015-05-19-11-15-00;42;11;31
2015-05-19-11-30-00;42;11;31
2015-05-19-11-45-00;59;23;36
2015-05-19-12-00-00;63;14;49
2015-05-19-12-15-00;75;19;56
2015-05-19-12-30-00;66;11;55
2015-05-19-12-45-00;68;14;54
2015-05-19-13-00-00;68;17;51
2015-05-19-13-15-00;88;23;65
2015-05-19-13-30-00;66;16;50
2015-05-19-13-45-00;68;21;47
2015-05-19-14-00-00;78;16;62
2015-05-19-14-15-00;81;17;64
2015-05-19-14-30-00;74;12;62
2015-05-19-14-45-00;71;16;55
2015-05-19-15-00-00;93;17;76
2015-05-19-15-15-00;85;23;62
2015-05-19-15-30-00;91;15;76
2015-05-19-15-45-00;106;14;92
2015-05-19-16-00-00;125;28;97
2015-05-19-16-15-00;135;23;112
2015-05-19-16-30-00;122;20;102
2015-05-19-16-45-00;133;21;112
2015-05-19-17-00-00;114;13;101
2015-05-19-17-15-00;147;16;131
2015-05-19-17-30-00;149;35;114
2015-05-19-17-45-00;105;29;76
2015-05-19-18-00-00;141;24;117
2015-05-19-18-15-00;131;18;113
2015-05-19-18-30-00;117;14;103
2015-05-19-18-45-00;134;30;104
2015-05-19-19-00-00;105;14;91
2015-05-19-19-15-00;85;20;65
2015-05-19-19-30-00;86;12;74
2015-05-19-19-45-00;79;12;67
2015-05-19-20-00-00;95;29;66
2015-05-19-20-15-00;74;12;62
2015-05-19-20-30-00;58;10;48
2015-05-19-20-45-00;59;4;55
2015-05-19-21-00-00;59;6;53
2015-05-19-21-15-00;36;11;25
2015-05-19-21-30-00;42;8;34
2015-05-19-21-45-00;61;9;52
2015-05-19-22-00-00;58;5;53
2015-05-19-22-15-00;51;2;49
2015-05-19-22-30-00;44;4;40
2015-05-19-22-45-00;23;4;19
2015-05-19-23-00-00;43;3;40
2015-05-19-23-15-00;22;0;22
2015-05-19-23-30-00;72;8;64
2015-05-19-23-45-00;42;3;39
2015-05-20-00-00-00;44;1;43
2015-05-20-00-15-00;26;3;23
2015-05-20-00-30-00;26;4;22
2015-05-20-00-45-00;4;2;2
2015-05-20-01-00-00;10;4;6
2015-05-20-01-15-00;13;5;8
2015-05-20-01-30-00;9;8;1
2015-05-20-01-45-00;14;11;3
2015-05-20-02-00-00;11;10;1
2015-05-20-02-15-00;4;4;0
2015-05-20-02-30-00;11;10;1
2015-05-20-02-45-00;16;7;9
2015-05-20-03-00-00;17;15;2
2015-05-20-03-15-00;15;13;2
2015-05-20-03-30-00;18;18;0
2015-05-20-03-45-00;32;29;3
2015-05-20-04-00-00;14;10;4
2015-05-20-04-15-00;34;33;1
2015-05-20-04-30-00;18;13;5
2015-05-20-04-45-00;10;6;4
2015-05-20-05-00-00;11;10;1
2015-05-20-05-15-00;8;6;2
2015-05-20-05-30-00;13;7;6
2015-05-20-05-45-00;8;6;2
2015-05-20-06-00-00;23;8;15
2015-05-20-06-15-00;29;15;14
2015-05-20-06-30-00;27;12;15
2015-05-20-06-45-00;29;10;19
2015-05-20-07-00-00;51;26;25
2015-05-20-07-15-00;80;39;41
2015-05-20-07-30-00;89;42;47
2015-05-20-07-45-00;100;45;55
2015-05-20-08-00-00;61;43;18
2015-05-20-08-15-00;112;59;53
2015-05-20-08-30-00;86;43;43
2015-05-20-08-45-00;100;45;55
2015-05-20-09-00-00;79;44;35
2015-05-20-09-15-00;76;34;42
2015-05-20-09-30-00;64;35;29
2015-05-20-09-45-00;70;43;27
2015-05-20-10-00-00;49;25;24
2015-05-20-10-15-00;41;22;19
2015-05-20-10-30-00;52;19;33
2015-05-20-10-45-00;43;19;24
2015-05-20-11-00-00;40;14;26
2015-05-20-11-15-00;45;18;27
2015-05-20-11-30-00;57;18;39
2015-05-20-11-45-00;36;11;25
2015-05-20-12-00-00;49;14;35
2015-05-20-12-15-00;64;12;52
2015-05-20-12-30-00;43;6;37
2015-05-20-12-45-00;56;8;48
2015-05-20-13-00-00;75;7;68
2015-05-20-13-15-00;68;11;57
2015-05-20-13-30-00;67;11;56
2015-05-20-13-45-00;70;14;56
2015-05-20-14-00-00;75;17;58
2015-05-20-14-15-00;62;15;47
2015-05-20-14-30-00;69;14;55
2015-05-20-14-45-00;65;15;50
2015-05-20-15-00-00;61;10;51
2015-05-20-15-15-00;66;15;51
2015-05-20-15-30-00;79;12;67
2015-05-20-15-45-00;90;10;80
2015-05-20-16-00-00;123;23;100
2015-05-20-16-15-00;102;13;89
2015-05-20-16-30-00;121;27;94
2015-05-20-16-45-00;133;28;105
2015-05-20-17-00-00;120;22;98
2015-05-20-17-15-00;125;24;101
2015-05-20-17-30-00;125;15;110
2015-05-20-17-45-00;124;23;101
2015-05-20-18-00-00;130;22;108
2015-05-20-18-15-00;141;27;114
2015-05-20-18-30-00;118;26;92
2015-05-20-18-45-00;114;21;93
2015-05-20-19-00-00;92;21;71
2015-05-20-19-15-00;117;23;94
2015-05-20-19-30-00;97;17;80
2015-05-20-19-45-00;77;11;66
2015-05-20-20-00-00;90;26;64
2015-05-20-20-15-00;60;8;52
2015-05-20-20-30-00;51;3;48
2015-05-20-20-45-00;39;8;31
2015-05-20-21-00-00;35;9;26
2015-05-20-21-15-00;49;12;37
2015-05-20-21-30-00;26;6;20
2015-05-20-21-45-00;56;16;40
2015-05-20-22-00-00;40;8;32
2015-05-20-22-15-00;36;4;32
2015-05-20-22-30-00;19;2;17
2015-05-20-22-45-00;32;10;22
2015-05-20-23-00-00;29;0;29
2015-05-20-23-15-00;35;5;30
2015-05-20-23-30-00;17;2;15
2015-05-20-23-45-00;10;2;8
2015-05-21-00-00-00;14;0;14
2015-05-21-00-15-00;7;1;6
2015-05-21-00-30-00;3;0;3
2015-05-21-00-45-00;4;0;4
2015-05-21-01-00-00;2;0;2
2015-05-21-01-15-00;2;1;1
2015-05-21-01-30-00;2;2;0
2015-05-21-01-45-00;1;0;1
2015-05-21-02-00-00;2;1;1
2015-05-21-02-15-00;3;0;3
2015-05-21-02-30-00;3;1;2
2015-05-21-02-45-00;1;0;1
2015-05-21-03-00-00;2;0;2
2015-05-21-03-15-00;0;0;0
2015-05-21-03-30-00;0;0;0
2015-05-21-03-45-00;1;0;1
2015-05-21-04-00-00;2;2;0
2015-05-21-04-15-00;2;2;0
2015-05-21-04-30-00;4;0;4
2015-05-21-04-45-00;2;1;1
2015-05-21-05-00-00;3;1;2
2015-05-21-05-15-00;6;2;4
2015-05-21-05-30-00;9;6;3
2015-05-21-05-45-00;12;6;6
2015-05-21-06-00-00;16;4;12
2015-05-21-06-15-00;31;15;16
2015-05-21-06-30-00;33;14;19
2015-05-21-06-45-00;39;13;26
2015-05-21-07-00-00;47;23;24
2015-05-21-07-15-00;77;34;43
2015-05-21-07-30-00;105;58;47
2015-05-21-07-45-00;109;65;44
2015-05-21-08-00-00;96;56;40
2015-05-21-08-15-00;105;60;45
2015-05-21-08-30-00;104;47;57
2015-05-21-08-45-00;111;54;57
2015-05-21-09-00-00;79;43;36
2015-05-21-09-15-00;46;29;17
2015-05-21-09-30-00;56;22;34
2015-05-21-09-45-00;62;35;27
2015-05-21-10-00-00;55;25;30
2015-05-21-10-15-00;56;24;32
2015-05-21-10-30-00;35;17;18
2015-05-21-10-45-00;69;32;37
2015-05-21-11-00-00;50;15;35
2015-05-21-11-15-00;49;16;33
2015-05-21-11-30-00;45;17;28
2015-05-21-11-45-00;61;21;40
2015-05-21-12-00-00;64;24;40
2015-05-21-12-15-00;73;20;53
2015-05-21-12-30-00;58;11;47
2015-05-21-12-45-00;73;15;58
2015-05-21-13-00-00;76;17;59
2015-05-21-13-15-00;73;12;61
2015-05-21-13-30-00;86;18;68
2015-05-21-13-45-00;96;27;69
2015-05-21-14-00-00;72;22;50
2015-05-21-14-15-00;76;16;60
2015-05-21-14-30-00;67;11;56
2015-05-21-14-45-00;83;19;64
2015-05-21-15-00-00;88;9;79
2015-05-21-15-15-00;88;16;72
2015-05-21-15-30-00;95;18;77
2015-05-21-15-45-00;76;15;61
2015-05-21-16-00-00;137;18;119
2015-05-21-16-15-00;158;26;132
2015-05-21-16-30-00;142;33;109
2015-05-21-16-45-00;143;14;129
2015-05-21-17-00-00;125;27;98
2015-05-21-17-15-00;151;21;130
2015-05-21-17-30-00;134;25;109
2015-05-21-17-45-00;142;25;117
2015-05-21-18-00-00;166;31;135
2015-05-21-18-15-00;144;24;120
2015-05-21-18-30-00;129;32;97
2015-05-21-18-45-00;167;37;130
2015-05-21-19-00-00;126;27;99
2015-05-21-19-15-00;113;26;87
2015-05-21-19-30-00;108;21;87
2015-05-21-19-45-00;76;10;66
2015-05-21-20-00-00;69;11;58
2015-05-21-20-15-00;85;15;70
2015-05-21-20-30-00;44;5;39
2015-05-21-20-45-00;46;11;35
2015-05-21-21-00-00;37;6;31
2015-05-21-21-15-00;53;12;41
2015-05-21-21-30-00;52;12;40
2015-05-21-21-45-00;55;23;32
2015-05-21-22-00-00;43;7;36
2015-05-21-22-15-00;58;10;48
2015-05-21-22-30-00;37;4;33
2015-05-21-22-45-00;18;5;13
2015-05-21-23-00-00;22;2;20
2015-05-21-23-15-00;24;6;18
2015-05-21-23-30-00;25;2;23
2015-05-21-23-45-00;10;0;10
2015-05-22-00-00-00;14;1;13
2015-05-22-00-15-00;9;2;7
2015-05-22-00-30-00;10;2;8
2015-05-22-00-45-00;3;0;3
2015-05-22-01-00-00;6;0;6
2015-05-22-01-15-00;6;1;5
2015-05-22-01-30-00;4;0;4
2015-05-22-01-45-00;5;2;3
2015-05-22-02-00-00;8;1;7
2015-05-22-02-15-00;3;0;3
2015-05-22-02-30-00;4;1;3
2015-05-22-02-45-00;3;0;3
2015-05-22-03-00-00;3;1;2
2015-05-22-03-15-00;3;1;2
2015-05-22-03-30-00;1;0;1
2015-05-22-03-45-00;3;2;1
2015-05-22-04-00-00;4;2;2
2015-05-22-04-15-00;3;3;0
2015-05-22-04-30-00;4;0;4
2015-05-22-04-45-00;2;0;2
2015-05-22-05-00-00;2;1;1
2015-05-22-05-15-00;1;0;1
2015-05-22-05-30-00;16;6;10
2015-05-22-05-45-00;9;6;3
2015-05-22-06-00-00;20;10;10
2015-05-22-06-15-00;25;10;15
2015-05-22-06-30-00;31;14;17
2015-05-22-06-45-00;30;14;16
2015-05-22-07-00-00;33;14;19
2015-05-22-07-15-00;79;35;44
2015-05-22-07-30-00;103;54;49
2015-05-22-07-45-00;106;76;30
2015-05-22-08-00-00;87;53;34
2015-05-22-08-15-00;91;45;46
2015-05-22-08-30-00;85;48;37
2015-05-22-08-45-00;91;44;47
2015-05-22-09-00-00;46;25;21
2015-05-22-09-15-00;59;33;26
2015-05-22-09-30-00;58;30;28
2015-05-22-09-45-00;66;28;38
2015-05-22-10-00-00;50;21;29
2015-05-22-10-15-00;41;18;23
2015-05-22-10-30-00;49;14;35
2015-05-22-10-45-00;61;27;34
2015-05-22-11-00-00;51;16;35
2015-05-22-11-15-00;53;17;36
2015-05-22-11-30-00;45;9;36
2015-05-22-11-45-00;82;21;61
2015-05-22-12-00-00;88;17;71
2015-05-22-12-15-00;87;21;66
2015-05-22-12-30-00;87;12;75
2015-05-22-12-45-00;90;21;69
2015-05-22-13-00-00;80;18;62
2015-05-22-13-15-00;89;18;71
2015-05-22-13-30-00;102;16;86
2015-05-22-13-45-00;103;26;77
2015-05-22-14-00-00;91;14;77
2015-05-22-14-15-00;99;14;85
2015-05-22-14-30-00;120;24;96
2015-05-22-14-45-00;102;18;84
2015-05-22-15-00-00;106;27;79
2015-05-22-15-15-00;125;29;96
2015-05-22-15-30-00;125;24;101
2015-05-22-15-45-00;120;20;100
2015-05-22-16-00-00;120;28;92
2015-05-22-16-15-00;121;24;97
2015-05-22-16-30-00;120;24;96
2015-05-22-16-45-00;120;22;98
2015-05-22-17-00-00;94;18;76
2015-05-22-17-15-00;124;26;98
2015-05-22-17-30-00;113;15;98
2015-05-22-17-45-00;137;28;109
2015-05-22-18-00-00;111;15;96
2015-05-22-18-15-00;117;24;93
2015-05-22-18-30-00;119;26;93
2015-05-22-18-45-00;107;30;77
2015-05-22-19-00-00;118;24;94
2015-05-22-19-15-00;106;22;84
2015-05-22-19-30-00;83;14;69
2015-05-22-19-45-00;95;26;69
2015-05-22-20-00-00;77;9;68
2015-05-22-20-15-00;51;16;35
2015-05-22-20-30-00;68;13;55
2015-05-22-20-45-00;49;13;36
2015-05-22-21-00-00;48;16;32
2015-05-22-21-15-00;40;10;30
2015-05-22-21-30-00;47;22;25
2015-05-22-21-45-00;32;6;26
2015-05-22-22-00-00;26;6;20
2015-05-22-22-15-00;47;16;31
2015-05-22-22-30-00;55;14;41
2015-05-22-22-45-00;32;9;23
2015-05-22-23-00-00;30;9;21
2015-05-22-23-15-00;23;7;16
2015-05-22-23-30-00;21;6;15
2015-05-22-23-45-00;27;7;20
2015-05-23-00-00-00;15;0;15
2015-05-23-00-15-00;19;2;17
2015-05-23-00-30-00;12;4;8
2015-05-23-00-45-00;29;8;21
2015-05-23-01-00-00;16;2;14
2015-05-23-01-15-00;13;2;11
2015-05-23-01-30-00;12;2;10
2015-05-23-01-45-00;6;2;4
2015-05-23-02-00-00;4;0;4
2015-05-23-02-15-00;15;2;13
2015-05-23-02-30-00;7;1;6
2015-05-23-02-45-00;4;0;4
2015-05-23-03-00-00;1;1;0
2015-05-23-03-15-00;6;0;6
2015-05-23-03-30-00;10;0;10
2015-05-23-03-45-00;3;0;3
2015-05-23-04-00-00;2;1;1
2015-05-23-04-15-00;2;0;2
2015-05-23-04-30-00;4;0;4
2015-05-23-04-45-00;2;0;2
2015-05-23-05-00-00;0;0;0
2015-05-23-05-15-00;3;2;1
2015-05-23-05-30-00;4;2;2
2015-05-23-05-45-00;3;1;2
2015-05-23-06-00-00;6;2;4
2015-05-23-06-15-00;1;0;1
2015-05-23-06-30-00;5;2;3
2015-05-23-06-45-00;3;0;3
2015-05-23-07-00-00;6;3;3
2015-05-23-07-15-00;10;5;5
2015-05-23-07-30-00;12;3;9
2015-05-23-07-45-00;8;5;3
2015-05-23-08-00-00;13;2;11
2015-05-23-08-15-00;17;8;9
2015-05-23-08-30-00;22;10;12
2015-05-23-08-45-00;21;13;8
2015-05-23-09-00-00;11;2;9
2015-05-23-09-15-00;24;13;11
2015-05-23-09-30-00;37;15;22
2015-05-23-09-45-00;45;17;28
2015-05-23-10-00-00;50;11;39
2015-05-23-10-15-00;49;23;26
2015-05-23-10-30-00;40;17;23
2015-05-23-10-45-00;48;19;29
2015-05-23-11-00-00;44;10;34
2015-05-23-11-15-00;56;12;44
2015-05-23-11-30-00;58;30;28
2015-05-23-11-45-00;57;22;35
2015-05-23-12-00-00;67;26;41
2015-05-23-12-15-00;71;16;55
2015-05-23-12-30-00;54;24;30
2015-05-23-12-45-00;69;23;46
2015-05-23-13-00-00;103;19;84
2015-05-23-13-15-00;66;20;46
2015-05-23-13-30-00;73;22;51
2015-05-23-13-45-00;81;28;53
2015-05-23-14-00-00;96;22;74
2015-05-23-14-15-00;99;26;73
2015-05-23-14-30-00;75;21;54
2015-05-23-14-45-00;91;21;70
2015-05-23-15-00-00;83;20;63
2015-05-23-15-15-00;91;33;58
2015-05-23-15-30-00;88;26;62
2015-05-23-15-45-00;80;16;64
2015-05-23-16-00-00;79;20;59
2015-05-23-16-15-00;78;21;57
2015-05-23-16-30-00;80;18;62
2015-05-23-16-45-00;67;12;55
2015-05-23-17-00-00;61;16;45
2015-05-23-17-15-00;79;14;65
2015-05-23-17-30-00;74;21;53
2015-05-23-17-45-00;76;13;63
2015-05-23-18-00-00;68;16;52
2015-05-23-18-15-00;56;6;50
2015-05-23-18-30-00;58;15;43
2015-05-23-18-45-00;50;14;36
2015-05-23-19-00-00;61;14;47
2015-05-23-19-15-00;43;5;38
2015-05-23-19-30-00;50;13;37
2015-05-23-19-45-00;44;14;30
2015-05-23-20-00-00;48;16;32
2015-05-23-20-15-00;42;11;31
2015-05-23-20-30-00;31;8;23
2015-05-23-20-45-00;30;7;23
2015-05-23-21-00-00;33;7;26
2015-05-23-21-15-00;28;6;22
2015-05-23-21-30-00;19;4;15
2015-05-23-21-45-00;22;6;16
2015-05-23-22-00-00;19;7;12
2015-05-23-22-15-00;20;6;14
2015-05-23-22-30-00;18;2;16
2015-05-23-22-45-00;18;2;16
2015-05-23-23-00-00;11;2;9
2015-05-23-23-15-00;21;7;14
2015-05-23-23-30-00;17;6;11
2015-05-23-23-45-00;22;5;17
2015-05-24-00-00-00;15;3;12
2015-05-24-00-15-00;9;1;8
2015-05-24-00-30-00;13;3;10
2015-05-24-00-45-00;15;3;12
2015-05-24-01-00-00;15;2;13
2015-05-24-01-15-00;20;3;17
2015-05-24-01-30-00;18;1;17
2015-05-24-01-45-00;4;0;4
2015-05-24-02-00-00;7;4;3
2015-05-24-02-15-00;10;3;7
2015-05-24-02-30-00;10;0;10
2015-05-24-02-45-00;5;0;5
2015-05-24-03-00-00;7;4;3
2015-05-24-03-15-00;9;2;7
2015-05-24-03-30-00;3;0;3
2015-05-24-03-45-00;4;0;4
2015-05-24-04-00-00;5;0;5
2015-05-24-04-15-00;5;0;5
2015-05-24-04-30-00;4;0;4
2015-05-24-04-45-00;7;0;7
2015-05-24-05-00-00;0;0;0
2015-05-24-05-15-00;5;2;3
2015-05-24-05-30-00;7;5;2
2015-05-24-05-45-00;5;0;5
2015-05-24-06-00-00;3;1;2
2015-05-24-06-15-00;2;0;2
2015-05-24-06-30-00;3;1;2
2015-05-24-06-45-00;3;0;3
2015-05-24-07-00-00;5;2;3
2015-05-24-07-15-00;8;3;5
2015-05-24-07-30-00;6;3;3
2015-05-24-07-45-00;4;1;3
2015-05-24-08-00-00;8;1;7
2015-05-24-08-15-00;8;4;4
2015-05-24-08-30-00;11;3;8
2015-05-24-08-45-00;11;3;8
2015-05-24-09-00-00;6;1;5
2015-05-24-09-15-00;10;4;6
2015-05-24-09-30-00;23;9;14
2015-05-24-09-45-00;27;11;16
2015-05-24-10-00-00;22;5;17
2015-05-24-10-15-00;26;6;20
2015-05-24-10-30-00;18;6;12
2015-05-24-10-45-00;38;10;28
2015-05-24-11-00-00;40;7;33
2015-05-24-11-15-00;41;6;35
2015-05-24-11-30-00;32;4;28
2015-05-24-11-45-00;49;17;32
2015-05-24-12-00-00;42;12;30
2015-05-24-12-15-00;73;9;64
2015-05-24-12-30-00;61;11;50
2015-05-24-12-45-00;41;5;36
2015-05-24-13-00-00;66;12;54
2015-05-24-13-15-00;86;7;79
2015-05-24-13-30-00;63;6;57
2015-05-24-13-45-00;50;8;42
2015-05-24-14-00-00;83;6;77
2015-05-24-14-15-00;84;8;76
2015-05-24-14-30-00;64;13;51
2015-05-24-14-45-00;107;29;78
2015-05-24-15-00-00;74;9;65
2015-05-24-15-15-00;68;12;56
2015-05-24-15-30-00;84;13;71
2015-05-24-15-45-00;68;17;51
2015-05-24-16-00-00;60;14;46
2015-05-24-16-15-00;58;11;47
2015-05-24-16-30-00;81;15;66
2015-05-24-16-45-00;68;15;53
2015-05-24-17-00-00;83;14;69
2015-05-24-17-15-00;82;34;48
2015-05-24-17-30-00;61;15;46
2015-05-24-17-45-00;96;26;70
2015-05-24-18-00-00;63;17;46
2015-05-24-18-15-00;53;10;43
2015-05-24-18-30-00;93;20;73
2015-05-24-18-45-00;64;12;52
2015-05-24-19-00-00;54;8;46
2015-05-24-19-15-00;46;16;30
2015-05-24-19-30-00;54;10;44
2015-05-24-19-45-00;38;8;30
2015-05-24-20-00-00;57;14;43
2015-05-24-20-15-00;46;12;34
2015-05-24-20-30-00;52;17;35
2015-05-24-20-45-00;24;9;15
2015-05-24-21-00-00;19;6;13
2015-05-24-21-15-00;23;8;15
2015-05-24-21-30-00;17;7;10
2015-05-24-21-45-00;16;4;12
2015-05-24-22-00-00;24;6;18
2015-05-24-22-15-00;22;10;12
2015-05-24-22-30-00;18;3;15
2015-05-24-22-45-00;11;5;6
2015-05-24-23-00-00;14;2;12
2015-05-24-23-15-00;6;0;6
2015-05-24-23-30-00;14;4;10
2015-05-24-23-45-00;12;2;10
2015-05-25-00-00-00;5;1;4
2015-05-25-00-15-00;16;7;9
2015-05-25-00-30-00;12;5;7
2015-05-25-00-45-00;9;4;5
2015-05-25-01-00-00;12;6;6
2015-05-25-01-15-00;5;0;5
2015-05-25-01-30-00;4;2;2
2015-05-25-01-45-00;4;1;3
2015-05-25-02-00-00;7;1;6
2015-05-25-02-15-00;2;2;0
2015-05-25-02-30-00;1;0;1
2015-05-25-02-45-00;1;0;1
2015-05-25-03-00-00;1;0;1
2015-05-25-03-15-00;4;4;0
2015-05-25-03-30-00;2;0;2
2015-05-25-03-45-00;5;1;4
2015-05-25-04-00-00;2;0;2
2015-05-25-04-15-00;0;0;0
2015-05-25-04-30-00;1;0;1
2015-05-25-04-45-00;4;0;4
2015-05-25-05-00-00;0;0;0
2015-05-25-05-15-00;4;4;0
2015-05-25-05-30-00;5;3;2
2015-05-25-05-45-00;2;1;1
2015-05-25-06-00-00;7;1;6
2015-05-25-06-15-00;1;1;0
2015-05-25-06-30-00;4;2;2
2015-05-25-06-45-00;2;0;2
2015-05-25-07-00-00;2;1;1
2015-05-25-07-15-00;5;2;3
2015-05-25-07-30-00;1;1;0
2015-05-25-07-45-00;4;2;2
2015-05-25-08-00-00;10;5;5
2015-05-25-08-15-00;6;2;4
2015-05-25-08-30-00;9;0;9
2015-05-25-08-45-00;8;1;7
2015-05-25-09-00-00;9;1;8
2015-05-25-09-15-00;7;3;4
2015-05-25-09-30-00;13;5;8
2015-05-25-09-45-00;13;2;11
2015-05-25-10-00-00;12;5;7
2015-05-25-10-15-00;12;2;10
2015-05-25-10-30-00;11;0;11
2015-05-25-10-45-00;10;1;9
2015-05-25-11-00-00;11;5;6
2015-05-25-11-15-00;5;5;0
2015-05-25-11-30-00;4;1;3
2015-05-25-11-45-00;21;5;16
2015-05-25-12-00-00;18;3;15
2015-05-25-12-15-00;23;9;14
2015-05-25-12-30-00;11;0;11
2015-05-25-12-45-00;14;1;13
2015-05-25-13-00-00;14;4;10
2015-05-25-13-15-00;19;3;16
2015-05-25-13-30-00;22;9;13
2015-05-25-13-45-00;26;4;22
2015-05-25-14-00-00;27;10;17
2015-05-25-14-15-00;17;7;10
2015-05-25-14-30-00;22;13;9
2015-05-25-14-45-00;55;14;41
2015-05-25-15-00-00;34;8;26
2015-05-25-15-15-00;24;6;18
2015-05-25-15-30-00;25;5;20
2015-05-25-15-45-00;17;3;14
2015-05-25-16-00-00;33;6;27
2015-05-25-16-15-00;19;5;14
2015-05-25-16-30-00;30;6;24
2015-05-25-16-45-00;43;9;34
2015-05-25-17-00-00;24;7;17
2015-05-25-17-15-00;38;11;27
2015-05-25-17-30-00;31;10;21
2015-05-25-17-45-00;44;17;27
2015-05-25-18-00-00;46;11;35
2015-05-25-18-15-00;39;9;30
2015-05-25-18-30-00;35;7;28
2015-05-25-18-45-00;34;10;24
2015-05-25-19-00-00;46;9;37
2015-05-25-19-15-00;23;5;18
2015-05-25-19-30-00;27;8;19
2015-05-25-19-45-00;26;8;18
2015-05-25-20-00-00;44;17;27
2015-05-25-20-15-00;33;6;27
2015-05-25-20-30-00;9;4;5
2015-05-25-20-45-00;27;7;20
2015-05-25-21-00-00;14;6;8
2015-05-25-21-15-00;15;1;14
2015-05-25-21-30-00;12;3;9
2015-05-25-21-45-00;13;4;9
2015-05-25-22-00-00;11;3;8
2015-05-25-22-15-00;14;4;10
2015-05-25-22-30-00;25;8;17
2015-05-25-22-45-00;13;5;8
2015-05-25-23-00-00;12;4;8
2015-05-25-23-15-00;8;0;8
2015-05-25-23-30-00;9;5;4
2015-05-25-23-45-00;9;2;7
2015-05-26-00-00-00;6;1;5
2015-05-26-00-15-00;6;1;5
2015-05-26-00-30-00;6;4;2
2015-05-26-00-45-00;1;0;1
2015-05-26-01-00-00;3;1;2
2015-05-26-01-15-00;2;0;2
2015-05-26-01-30-00;4;1;3
2015-05-26-01-45-00;1;0;1
2015-05-26-02-00-00;1;0;1
2015-05-26-02-15-00;1;0;1
2015-05-26-02-30-00;2;0;2
2015-05-26-02-45-00;2;0;2
2015-05-26-03-00-00;1;1;0
2015-05-26-03-15-00;1;0;1
2015-05-26-03-30-00;2;0;2
2015-05-26-03-45-00;3;1;2
2015-05-26-04-00-00;0;0;0
2015-05-26-04-15-00;5;4;1
2015-05-26-04-30-00;1;0;1
2015-05-26-04-45-00;4;0;4
2015-05-26-05-00-00;5;3;2
2015-05-26-05-15-00;4;2;2
2015-05-26-05-30-00;12;5;7
2015-05-26-05-45-00;11;7;4
2015-05-26-06-00-00;13;2;11
2015-05-26-06-15-00;21;9;12
2015-05-26-06-30-00;25;9;16
2015-05-26-06-45-00;28;10;18
2015-05-26-07-00-00;35;13;22
